               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.042717,            0.013662,           0.0070266,             0.79501,             0.94877,             0.93801,             0.41819,            0.032183,           0.0076847,           0.0047979,           0.0047671,           0.0047671,           0.0047671
                 113,            0.043796,            0.016282,           0.0090034,              0.8037,                   1,             0.98136,             0.49148,            0.031517,           0.0076836,           0.0045222,             0.00472,             0.00472,             0.00472
                 114,            0.038481,             0.01177,            0.014661,              0.8037,                   1,             0.98136,             0.49148,            0.031517,           0.0076836,           0.0045222,           0.0046729,           0.0046729,           0.0046729
                 115,            0.040245,            0.014853,           0.0076794,             0.92667,              0.9485,             0.98667,             0.55687,            0.031284,           0.0075633,            0.004314,           0.0046257,           0.0046257,           0.0046257
                 116,            0.042846,             0.01528,           0.0069179,             0.92667,              0.9485,             0.98667,             0.55687,            0.031284,           0.0075633,            0.004314,           0.0045786,           0.0045786,           0.0045786
                 117,            0.040885,            0.015559,            0.006223,             0.73226,                   1,             0.96846,             0.46459,            0.034744,           0.0074613,           0.0042899,           0.0045314,           0.0045314,           0.0045314
                 118,            0.041591,             0.01207,            0.006047,             0.73226,                   1,             0.96846,             0.46459,            0.034744,           0.0074613,           0.0042899,           0.0044843,           0.0044843,           0.0044843
                 119,            0.045206,            0.016748,            0.006351,             0.73655,                   1,             0.98667,             0.48577,            0.035977,           0.0074503,           0.0041329,           0.0044371,           0.0044371,           0.0044371
                 120,            0.045525,            0.014991,            0.010449,             0.73655,                   1,             0.98667,             0.48577,            0.035977,           0.0074503,           0.0041329,             0.00439,             0.00439,             0.00439
                 121,            0.045203,            0.013393,           0.0052881,              0.9338,                   1,             0.98136,             0.47975,            0.032764,           0.0072024,           0.0040979,           0.0043429,           0.0043429,           0.0043429
                 122,            0.042012,            0.013322,           0.0068254,              0.9338,                   1,             0.98136,             0.47975,            0.032764,           0.0072024,           0.0040979,           0.0042957,           0.0042957,           0.0042957
                 123,            0.043105,            0.015258,           0.0088957,             0.81936,                   1,             0.96667,             0.55514,            0.032221,           0.0071964,           0.0039025,           0.0042486,           0.0042486,           0.0042486
                 124,            0.042383,            0.012565,           0.0060178,             0.81936,                   1,             0.96667,             0.55514,            0.032221,           0.0071964,           0.0039025,           0.0042014,           0.0042014,           0.0042014
                 125,            0.045377,            0.012196,            0.006327,             0.77163,                   1,             0.93485,             0.34225,            0.043488,           0.0069602,           0.0037079,           0.0041543,           0.0041543,           0.0041543
                 126,            0.054095,            0.013628,           0.0065308,             0.77163,                   1,             0.93485,             0.34225,            0.043488,           0.0069602,           0.0037079,           0.0041071,           0.0041071,           0.0041071
                 127,            0.054235,            0.011281,           0.0055636,             0.87643,             0.99922,             0.98667,             0.58369,            0.037121,           0.0068389,           0.0035826,             0.00406,             0.00406,             0.00406
                 128,            0.043144,            0.014095,           0.0065883,             0.87643,             0.99922,             0.98667,             0.58369,            0.037121,           0.0068389,           0.0035826,           0.0040129,           0.0040129,           0.0040129
                 129,            0.045592,            0.012056,           0.0095582,             0.66294,                   1,             0.91196,              0.5859,            0.035206,            0.006784,           0.0035453,           0.0039657,           0.0039657,           0.0039657
                 130,            0.045453,              0.0146,           0.0061538,             0.66294,                   1,             0.91196,              0.5859,            0.035206,            0.006784,           0.0035453,           0.0039186,           0.0039186,           0.0039186
                 131,            0.040565,            0.011152,           0.0053916,             0.74314,                   1,             0.91963,             0.43138,            0.034592,           0.0067187,           0.0035192,           0.0038714,           0.0038714,           0.0038714
                 132,            0.044431,            0.010471,           0.0083287,             0.74314,                   1,             0.91963,             0.43138,            0.034592,           0.0067187,           0.0035192,           0.0038243,           0.0038243,           0.0038243
                 133,            0.042061,            0.014832,           0.0066838,             0.88447,             0.99983,              0.9207,             0.59529,             0.03197,           0.0066768,            0.003494,           0.0037771,           0.0037771,           0.0037771
                 134,            0.040973,            0.013005,           0.0056545,             0.88447,             0.99983,              0.9207,             0.59529,             0.03197,           0.0066768,            0.003494,             0.00373,             0.00373,             0.00373
                 135,            0.041441,            0.014506,           0.0046257,             0.88141,              0.9994,             0.98346,             0.55983,            0.033765,           0.0066547,           0.0034234,           0.0036829,           0.0036829,           0.0036829
